"Player","Team","Bye","POS","ESPN","ADP"
"Tetairoa McMillan","CAR","14","WR33","73","73"
"Tony Pollard","TEN","10","RB25","74","74"
"RJ Harvey","DEN","12","RB26","75","75"
"Rome Odunze","CHI","5","WR34","76","76"
"Joe Mixon","HOU","6","RB27","77","77"
"Kyler Murray","ARI","8","QB9","78","78"
"Evan Engram","DEN","12","TE9","79","79"
"Cooper Kupp","SEA","8","WR35","80","80"
"Brock Purdy","SF","14","QB10","81","81"
"Jakobi Meyers","LV","8","WR36","82","82"
"Stefon Diggs","NE","14","WR37","83","83"
"Pittsburgh Steelers","DST","5","DST1","84","84"
"Tyrone Tracy Jr.","NYG","14","RB28","85","85"
"Matthew Golden","GB","5","WR38","86","86"
"Houston Texans","DST","6","DST2","87","87"
"Denver Broncos","DST","12","DST3","88","88"
"Chris Godwin","TB","9","WR39","89","89"
"Chris Olave","NO","11","WR40","90","90"
"Kaleb Johnson","PIT","5","RB29","91","91"
"Brian Robinson Jr.","WAS","12","RB30","92","92"
"Justin Herbert","LAC","12","QB11","93","93"
"Jaylen Warren","PIT","5","RB31","94","94"
"Jake Bates","DET","8","K1","95","95"
"Deebo Samuel Sr.","WAS","12","WR41","96","96"
"Tucker Kraft","GB","5","TE10","97","97"
"Jordan Addison","MIN","6","WR42","98","98"
"Brandon Aubrey","DAL","10","K2","99","99"
"J.K. Dobbins","DEN","12","RB32","100","100"
"Dak Prescott","DAL","10","QB12","101","101"
"Chase McLaughlin","TB","9","K3","102","102"
"Khalil Shakir","BUF","7","WR43","103","103"
"Ricky Pearsall","SF","14","WR44","104","104"
"Baltimore Ravens","DST","7","DST4","105","105"
"Quinshon Judkins","CLE","9","RB33","106","106"
"Javonte Williams","DAL","10","RB34","107","107"
"Minnesota Vikings","DST","6","DST5","108","108"
"Jauan Jennings","SF","14","WR45","109","109"
"Keon Coleman","BUF","7","WR46","110","110"
"Rhamondre Stevenson","NE","14","RB35","111","111"
"Cameron Dicker","LAC","12","K4","112","112"
"Justin Fields","NYJ","9","QB13","113","113"
"Tyler Warren","IND","11","TE11","114","114"
"Caleb Williams","CHI","5","QB14","115","115"
"Colston Loveland","CHI","5","TE12","116","116"
"Michael Pittman Jr.","IND","11","WR47","117","117"
"Dallas Goedert","PHI","9","TE13","118","118"
"Emeka Egbuka","TB","9","WR48","119","119"
"Jared Goff","DET","8","QB15","120","120"
"Cam Skattebo","NYG","14","RB36","121","121"
"Keenan Allen","LAC","12","WR49","122","122"
"Travis Etienne Jr.","JAC","8","RB37","123","123"
"Philadelphia Eagles","DST","9","DST6","124","124"
"Jayden Reed","GB","5","WR50","125","125"
"Austin Ekeler","WAS","12","RB38","126","126"
"Dalton Kincaid","BUF","7","TE14","127","127"
"Detroit Lions","DST","8","DST7","128","128"
"Rashid Shaheed","NO","11","WR51","129","129"
"Kyle Pitts Sr.","ATL","5","TE15","130","130"
"Seattle Seahawks","DST","8","DST8","131","131"
"Drake Maye","NE","14","QB16","132","132"
"Darnell Mooney","ATL","5","WR52","133","133"
"J.J. McCarthy","MIN","6","QB17","134","134"
"Josh Downs","IND","11","WR53","135","135"
"Jordan Mason","MIN","6","RB39","136","136"
"Jordan Love","GB","5","QB18","137","137"
"Jayden Higgins","HOU","6","WR54","138","138"
"Tank Bigsby","JAC","8","RB40","139","139"
"Jake Elliott","PHI","9","K5","140","140"
"C.J. Stroud","HOU","6","QB19","141","141"
"Chris Boswell","PIT","5","K6","142","142"
"Jake Ferguson","DAL","10","TE16","143","143"
"Tyjae Spears","TEN","10","RB41","144","144"
"Jason Sanders","MIA","12","K7","145","145"
"Harrison Butker","KC","10","K8","146","146"
"Rachaad White","TB","9","RB42","147","147"
"New England Patriots","DST","14","DST9","148","148"
"Buffalo Bills","DST","7","DST10","149","149"
"Zach Charbonnet","SEA","8","RB43","150","150"
"Tyler Bass","BUF","7","K9","151","151"
"Cam Little","JAC","8","K10","152","152"
"Adam Thielen","CAR","14","WR55","153","153"
"Trey Benson","ARI","8","RB44","154","154"
"Hunter Henry","NE","14","TE17","155","155"
"Xavier Legette","CAR","14","WR56","156","156"
"Jerome Ford","CLE","9","RB45","157","157"
"Nick Chubb","HOU","6","RB46","158","158"
"Zach Ertz","WAS","12","TE18","159","159"
"Brandon Aiyuk","SF","14","WR57","160","160"
"Jaydon Blue","DAL","10","RB47","161","161"
"Tua Tagovailoa","MIA","12","QB20","162","162"
"Tyler Allgeier","ATL","5","RB48","163","163"
"Braelon Allen","NYJ","9","RB49","164","164"
"Cam Ward","TEN","10","QB21","165","165"
"Cedric Tillman","CLE","9","WR58","166","166"
"Matthew Stafford","LAR","8","QB22","167","167"
"Najee Harris","LAC","12","RB50","168","168"
"Marvin Mims Jr.","DEN","12","WR59","169","169"
"Marquise Brown","KC","10","WR60","170","170"
"Trevor Lawrence","JAC","8","QB23","171","171"
"Tyler Loop","BAL","7","K11","172","172"
"Matt Gay","WAS","12","K12","173","173"
"Indianapolis Colts","DST","11","DST11","174","174"
"Jaylen Wright","MIA","12","RB51","175","175"
"Ka'imi Fairbairn","HOU","6","K13","176","176"
"Michael Penix Jr.","ATL","5","QB24","177","177"
"Kansas City Chiefs","DST","10","DST12","178","178"
"Cairo Santos","CHI","5","K14","179","179"
